t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
128,1000,495,505,384,141,0,2893,2207,0.1491696071071071,0.3828125,0.6171875,61,6,0,446.55489873049714,8,0.75811319735366,0.9645086523761147,0.5835134865374308,0.9015810460103476
129,1000,494,506,377,118,0,2865,2141,0.15178650525525525,0.382375,0.617625,47,6,0,419.4761307459603,8,0.7531657866631885,0.9599833831894502,0.5715409633012598,0.8984500354971142
130,1000,474,526,370,124,0,2768,2107,0.15257760885885885,0.3925625,0.6074375000000001,62,6,0,412.1879986752175,8,0.7499026110515357,0.9634639435094399,0.5655370982923733,0.9028920545631551
131,1000,496,504,370,104,0,2783,2102,0.15039977477477479,0.3830625,0.6169375,61,6,0,434.45146139443364,8,0.7422325191624705,0.960566293697315,0.5692702626569676,0.89934897688439
132,1000,504,496,372,124,0,2785,2055,0.15238382132132133,0.3733125,0.6266875000000001,59,6,0,411.5435858393605,8,0.7407173164334759,0.961434803623874,0.5656830215086383,0.897407580645826
133,1000,483,517,376,128,0,2822,2104,0.15257407407407408,0.3644375,0.6355625,58,6,0,427.1694464587866,8,0.7480047476087851,0.9654616133032196,0.5640167631459648,0.9023446600929576
134,1000,486,514,369,114,0,2792,2090,0.15037678303303303,0.3619375,0.6380625,77,6,0,421.23939252379813,8,0.7525699059241017,0.9652596624836131,0.5786576831546231,0.9077894555003688
135,1000,514,486,362,124,0,2736,2012,0.15693405905905905,0.36375,0.63625,73,6,0,413.34367922683373,8,0.7394764884635436,0.9594983444702339,0.576307303496674,0.9015613842350009
136,1000,506,494,388,126,0,2880,2110,0.15742952327327328,0.366875,0.6331249999999999,63,6,0,431.4273923609519,8,0.7313439420482268,0.9590149620717842,0.5672991613401722,0.9006627147396584
137,1000,504,496,371,135,0,2779,2087,0.15870858358358358,0.3321875,0.6678124999999999,62,6,0,414.39035625148654,8,0.7512578742471332,0.9670782354831479,0.5682980373084803,0.9111883407522448
